area,traces,thematic,scale,valid,empty,diameter
Getaberget_20m_1_1_area,Getaberget_20m_1_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_1_2_area,Getaberget_20m_1_traces,ahvenanmaa,20m,True,False,40
Getaberget_20m_1_3_area,Getaberget_20m_1_traces,ahvenanmaa,20m,True,False,20
Getaberget_20m_1_4_area,Getaberget_20m_1_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_2_1_area,Getaberget_20m_2_traces,ahvenanmaa,20m,True,False,40
Getaberget_20m_2_2_area,Getaberget_20m_2_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_3_1_area,Getaberget_20m_3_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_3_3_area,Getaberget_20m_3_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_3_4_area,Getaberget_20m_3_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_3_5_area,Getaberget_20m_3_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_4_1_area,Getaberget_20m_4_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_4_2_area,Getaberget_20m_4_traces,ahvenanmaa,20m,False,True,50
Getaberget_20m_4_3_area,Getaberget_20m_4_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_5_1_area,Getaberget_20m_5_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_6_1_area,Getaberget_20m_6_traces,ahvenanmaa,20m,False,True,40
Getaberget_20m_7_1_area,Getaberget_20m_7_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_7_2_area,Getaberget_20m_7_traces,ahvenanmaa,20m,True,False,20
Getaberget_20m_8_1_area,Getaberget_20m_8_traces,ahvenanmaa,20m,False,True,50
Getaberget_20m_8_2_area,Getaberget_20m_8_traces,ahvenanmaa,20m,False,True,50
Getaberget_20m_8_3_area,Getaberget_20m_8_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_9_1_area,Getaberget_20m_9_traces,ahvenanmaa,20m,False,True,50
Getaberget_20m_9_2_area,Getaberget_20m_9_traces,ahvenanmaa,20m,True,False,50
Getaberget_20m_9_3_area,Getaberget_20m_9_traces,ahvenanmaa,20m,False,True,50
Havsvidden_20m_1_area,Havsvidden_20m_traces,ahvenanmaa,20m,True,False,50
Havsvidden_20m_2_area,Havsvidden_20m_traces,ahvenanmaa,20m,False,True,50
Flato_20m_1_area,Flato_20m_1_traces,ahvenanmaa,20m,True,False,40
Segelskar_20m_1_1_area,Segelskar_20m_1_traces,ahvenanmaa,20m,True,False,40
